Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Modality_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response
You Task,subject003,-11,8.19999999999999,2.3000000000000083,1.9000000000000044,1.0,10.0,2.0000000000000044,8.899999999999988,1.5999999999999983,7.099999999999994,6.9000000000000075,1.6,7.99999999999999,8.899999999999993,6.899999999999994
You Task,subject003,9,6.999999999999994,5.600000000000016,3.0999999999999983,1.0,10.0,1.4000000000000152,7.499999999999992,1.8999999999999992,6.499999999999997,7.000000000000007,1.0,8.100000000000003,8.899999999999986,8.699999999999989
Movie Task,subject003,-14,8.100000000000003,8.399999999999988,2.5999999999999996,1.0,7.100000000000007,1.7000000000000046,7.899999999999993,2.000000000000008,2.400000000000012,3.900000000000017,4.8000000000000105,9.099999999999996,2.000000000000015,1.2000000000000117
Movie Task,subject003,15,7.699999999999991,8.39999999999999,6.9000000000000075,1.0,6.9999999999999964,1.0000000000000082,8.599999999999987,2.0,3.100000000000001,3.1000000000000054,3.8000000000000007,3.000000000000016,7.0,4.100000000000001
Movie Task,subject004,-9,5.0,2.9000000000000123,2.2,5.0,6.799999999999997,4.700000000000006,3.100000000000001,8.400000000000006,5.000000000000018,7.499999999999995,4.100000000000001,10.0,2.0000000000000044,6.999999999999993
Movie Task,subject004,15,1.5999999999999983,10.0,6.30000000000001,1.0,6.699999999999994,1.6000000000000045,9.400000000000002,2.1000000000000045,8.29999999999999,4.7000000000000135,5.400000000000006,4.300000000000017,2.0,5.500000000000005
Friend Task,subject004,-10,7.299999999999995,9.700000000000001,1.2999999999999994,8.800000000000004,9.300000000000002,1.0,9.500000000000002,4.900000000000004,9.699999999999987,8.000000000000007,2.0,10.0,2.8000000000000087,10.0
Friend Task,subject004,8,9.399999999999984,9.8,1.2999999999999976,9.599999999999987,9.399999999999984,1.2999999999999985,9.499999999999988,2.2000000000000046,9.299999999999992,8.499999999999998,2.899999999999999,10.0,1.800000000000001,9.999999999999986
You Task,subject004,8,5.899999999999999,6.799999999999997,3.7999999999999985,9.89999999999999,6.899999999999996,3.5000000000000164,9.8,2.2999999999999994,8.699999999999998,7.0,1.900000000000008,6.6000000000000085,8.900000000000004,8.199999999999992
You Task,subject004,14,9.499999999999988,6.299999999999995,1.3999999999999986,9.0,9.299999999999995,1.0999999999999994,10.0,7.900000000000004,8.199999999999996,7.499999999999995,1.7999999999999994,3.800000000000013,9.299999999999995,9.500000000000002
Finger Tapping Task,subject004,5,1.5999999999999983,1.9999999999999991,1.6000000000000152,2.9000000000000004,3.600000000000013,1.0,10.0,1.7000000000000153,1.0,3.3000000000000163,2.0,6.799999999999996,3.1000000000000125,2.1999999999999993
Finger Tapping Task,subject004,-5,2.4999999999999996,4.20000000000001,3.800000000000006,6.6999999999999975,7.9000000000000075,2.9,8.199999999999992,2.499999999999998,1.7999999999999994,3.8000000000000096,2.0000000000000044,5.0,1.3000000000000003,8.99999999999999
GoNoGo Task,subject004,12,2.1999999999999993,1.7000000000000117,1.7999999999999998,2.0,2.500000000000005,3.6000000000000005,3.100000000000001,2.0,1.7,1.4999999999999976,1.2000000000000082,4.500000000000002,1.6,1.0
GoNoGo Task,subject004,7,2.5000000000000013,2.7000000000000157,3.0,9.59999999999999,1.3999999999999995,1.7999999999999985,6.599999999999995,1.9000000000000008,1.7000000000000153,1.5999999999999974,1.800000000000001,5.800000000000015,1.5999999999999983,1.4000000000000046
Zero-Back Task,subject004,12,4.3000000000000025,5.500000000000009,5.800000000000004,7.899999999999993,2.8000000000000016,2.3000000000000083,9.399999999999986,3.7000000000000006,6.599999999999998,4.700000000000001,6.800000000000011,4.800000000000018,4.600000000000014,5.0
Zero-Back Task,subject004,-10,6.800000000000001,7.199999999999999,8.399999999999991,5.0,5.0,5.700000000000008,6.599999999999997,3.0,1.6999999999999984,6.000000000000014,7.0,6.899999999999995,3.0,7.0
One-Back Task,subject004,9,4.00000000000001,6.6000000000000085,7.400000000000002,7.6999999999999975,3.1000000000000125,2.799999999999999,6.899999999999997,1.5000000000000044,2.799999999999999,4.800000000000003,6.0,5.4,3.0,2.0
One-Back Task,subject004,-5,1.8999999999999984,5.900000000000015,7.199999999999992,7.799999999999993,6.399999999999997,1.5999999999999992,8.199999999999989,1.3999999999999977,1.7000000000000082,6.3000000000000025,5.6000000000000085,5.100000000000017,2.0,2.0000000000000115
Easy Math Task,subject004,-10,6.500000000000012,1.8999999999999984,7.999999999999992,10.0,2.0,2.0,9.799999999999983,1.5999999999999992,8.799999999999994,9.499999999999986,3.3000000000000163,5.400000000000006,2.000000000000001,9.1
Easy Math Task,subject004,-15,7.500000000000009,2.4999999999999987,8.399999999999995,10.0,1.7000000000000082,1.9999999999999973,9.999999999999984,2.900000000000009,10.0,8.799999999999986,2.400000000000005,5.300000000000017,1.7999999999999994,9.099999999999993
Hard Math Task,subject004,-12,9.499999999999986,2.900000000000001,10.0,9.599999999999998,3.799999999999999,1.0,10.0,1.6999999999999993,10.0,9.0,1.2000000000000117,6.099999999999997,1.6999999999999975,10.0
Hard Math Task,subject004,6,10.0,1.3,10.0,10.0,1.7999999999999998,1.0,10.0,1.2000000000000002,10.0,10.0,2.0,6.899999999999996,1.2000000000000082,10.0
Reading Task,subject004,-5,2.0,2.2999999999999985,3.300000000000009,10.0,2.3999999999999995,3.100000000000002,8.500000000000005,4.500000000000011,8.300000000000002,3.100000000000002,3.9000000000000026,6.399999999999999,2.1,8.199999999999989
Reading Task,subject004,9,8.399999999999995,7.099999999999996,2.2999999999999976,4.300000000000001,8.0,6.800000000000004,4.900000000000004,5.400000000000002,1.9999999999999973,1.900000000000015,2.699999999999998,6.999999999999995,6.000000000000011,6.0
Memory Task,subject004,12,8.0,9.0,1.8000000000000116,1.5999999999999974,9.59999999999999,1.6000000000000045,6.6000000000000085,3.0,7.0,2.900000000000009,2.3000000000000083,7.400000000000002,2.3999999999999986,9.500000000000002
Memory Task,subject004,11,4.100000000000014,9.0,1.700000000000001,1.9000000000000044,10.0,3.0,8.799999999999988,2.000000000000008,3.0,6.200000000000006,3.2000000000000126,6.099999999999997,2.000000000000001,9.199999999999989
Memory Task,subject005,-5,6.500000000000002,2.0,1.0,4.200000000000001,10.0,3.4000000000000092,3.0999999999999983,1.0,7.300000000000006,8.29999999999999,1.0,9.199999999999989,8.699999999999994,8.400000000000006
Memory Task,subject005,-13,7.30000000000001,8.69999999999999,1.0,3.600000000000013,1.0,6.699999999999995,7.499999999999994,1.0,7.099999999999995,8.0,10.0,9.100000000000003,3.0,1.9999999999999982
Reading Task,subject005,8,8.499999999999995,1.0,2.999999999999999,9.200000000000003,1.0,1.000000000000001,2.2999999999999985,1.0,8.999999999999993,9.199999999999987,1.0,5.000000000000011,1.0,1.900000000000008
Reading Task,subject005,11,9.099999999999987,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.1999999999999975,8.999999999999996,1.0,6.400000000000006,1.0,2.2000000000000153
You Task,subject005,-7,10.0,2.2000000000000153,2.2000000000000153,10.0,9.0,1.0,1.0,2.3,5.000000000000002,6.400000000000006,1.0,6.799999999999995,8.799999999999997,9.499999999999995
You Task,subject005,-5,10.0,1.0,1.0,10.0,8.999999999999996,1.0,1.0,2.0,4.00000000000001,7.299999999999993,1.0,4.600000000000017,10.0,8.899999999999988
Friend Task,subject005,12,10.0,8.900000000000004,1.0,8.29999999999999,9.200000000000003,1.0,1.0,1.0,9.0,10.0,1.6,8.300000000000002,1.9,10.0
Friend Task,subject005,11,8.79999999999999,9.199999999999989,1.0,8.700000000000005,10.0,2.6000000000000085,1.0,2.0000000000000044,7.499999999999993,10.0,4.0,6.9,2.2000000000000046,10.0
Zero-Back Task,subject005,7,6.400000000000006,2.7000000000000015,10.0,3.3999999999999986,1.0,3.5000000000000013,2.0,2.2,4.10000000000001,5.500000000000005,1.0,4.300000000000001,7.899999999999993,7.199999999999992
Zero-Back Task,subject005,-7,7.599999999999994,2.300000000000001,10.0,2.3000000000000083,2.6000000000000014,3.4000000000000057,2.2999999999999976,3.5000000000000164,6.999999999999996,9.299999999999986,1.0,4.6,3.600000000000006,10.0
One-Back Task,subject005,-13,10.0,1.0,10.0,2.8000000000000003,6.4999999999999964,1.0,1.0,1.0,8.300000000000006,10.0,1.7,6.599999999999996,1.0,6.799999999999996
One-Back Task,subject005,-14,10.0,1.0,10.0,3.5999999999999996,3.8000000000000007,1.0,1.0,1.0,8.699999999999994,10.0,3.0,7.500000000000002,1.0,8.29999999999999
GoNoGo Task,subject005,-11,7.799999999999992,1.0,10.0,1.0,2.699999999999998,3.500000000000013,1.0,3.4000000000000163,2.9000000000000017,8.200000000000006,1.0,3.6000000000000005,2.9000000000000123,2.1999999999999984
GoNoGo Task,subject005,-8,10.0,1.0,10.0,1.0,7.79999999999999,1.0,1.0,1.0,8.900000000000004,9.299999999999995,1.0,7.500000000000002,2.099999999999999,8.49999999999999
Finger Tapping Task,subject005,-6,6.599999999999998,1.0,9.399999999999984,1.0,1.0,4.299999999999999,1.0,7.199999999999993,4.500000000000002,7.10000000000001,1.0,4.8000000000000105,3.8000000000000016,2.100000000000015
Finger Tapping Task,subject005,-5,8.599999999999998,1.0,10.0,1.0,6.0000000000000036,1.0,1.0,2.0,8.400000000000002,8.399999999999991,1.0,6.799999999999996,3.6000000000000005,7.299999999999992
Movie Task,subject005,-12,6.699999999999997,1.0,1.0,3.5000000000000013,2.4000000000000004,2.5000000000000013,1.0,3.0,3.7000000000000024,3.0,4.300000000000001,5.700000000000008,1.9,4.600000000000007
Movie Task,subject005,9,8.100000000000003,3.2999999999999985,1.0,1.0,4.100000000000007,1.0,1.0,1.0,2.800000000000016,6.100000000000003,1.9000000000000008,7.10000000000001,1.7999999999999998,5.0
Hard Math Task,subject005,15,10.0,1.0,10.0,9.300000000000002,9.0,1.0,1.0,1.0,8.699999999999994,8.400000000000006,1.0,4.0,2.0,10.0
Hard Math Task,subject005,-5,10.0,1.0,10.0,7.99999999999999,8.099999999999993,1.0,1.0,1.0,8.9,9.299999999999988,1.0,6.0,1.0,8.299999999999988
Easy Math Task,subject005,8,10.0,1.0,10.0,8.799999999999986,10.0,1.0,1.0,1.0,10.0,8.699999999999987,1.0,10.0,1.0,10.0
Easy Math Task,subject005,-12,10.0,1.0,10.0,10.0,10.0,1.0,1.0,1.0,10.0,9.0,1.0,8.199999999999992,1.0,10.0
One-Back Task,subject006,-11,9.0,2.5000000000000155,7.999999999999989,8.199999999999989,8.300000000000006,2.6000000000000085,1.0,1.0,4.400000000000014,1.0,1.0,5.000000000000002,1.3000000000000083,1.0
One-Back Task,subject006,11,1.600000000000001,1.000000000000001,2.000000000000015,9.799999999999986,8.29999999999999,3.400000000000013,1.0,1.0,3.200000000000002,1.1999999999999984,1.7000000000000153,5.4,4.300000000000013,4.600000000000001
Zero-Back Task,subject006,8,1.0,1.0,3.200000000000009,5.000000000000002,2.0,3.600000000000006,8.0,1.0,2.900000000000016,1.0,1.0,4.600000000000001,4.400000000000014,4.40000000000001
Zero-Back Task,subject006,-12,2.500000000000005,8.09999999999999,1.0,5.999999999999997,6.399999999999998,1.4000000000000152,5.4,1.0,1.0,4.000000000000013,1.0,2.6000000000000085,6.800000000000011,7.20000000000001
Reading Task,subject006,15,1.0,1.199999999999997,5.399999999999999,9.0,6.500000000000012,1.0,1.7,1.0,1.0,1.0,9.299999999999986,4.0,1.0999999999999994,3.699999999999999
Reading Task,subject006,12,1.0,6.599999999999996,5.400000000000013,1.400000000000001,1.0,8.099999999999989,10.0,2.5000000000000013,3.100000000000002,1.0,7.799999999999997,5.600000000000012,4.500000000000007,1.0
Memory Task,subject006,-7,1.0,10.0,1.0,1.0,10.0,2.400000000000012,10.0,1.0,10.0,5.300000000000006,1.0,6.599999999999994,9.399999999999991,10.0
Memory Task,subject006,-8,1.0,10.0,1.0,1.0,3.600000000000001,1.0,4.9000000000000075,1.0,8.799999999999997,3.200000000000002,1.0,5.100000000000017,1.0,7.399999999999992
Hard Math Task,subject006,-15,6.600000000000012,1.0,10.0,5.000000000000002,1.0,1.0,1.0,1.0,1.0,4.900000000000004,1.8000000000000045,5.000000000000002,1.100000000000001,1.0
Hard Math Task,subject006,13,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,10.0,5.200000000000001,1.0,1.3000000000000154,1.0,1.0
Easy Math Task,subject006,-10,8.000000000000004,1.0,1.0,9.0,1.0,9.000000000000004,1.7999999999999998,1.0,4.000000000000002,1.0,4.0,2.5000000000000013,9.0,1.0
Easy Math Task,subject006,-9,7.700000000000001,1.0,1.0,5.3,1.0,4.900000000000002,1.0,1.0,3.0,1.0,1.0,4.10000000000001,1.0,1.0
Movie Task,subject006,-9,1.3000000000000083,10.0,1.0,8.100000000000007,9.499999999999998,5.199999999999999,7.299999999999993,3.3000000000000127,3.0,4.60000000000001,3.700000000000013,1.0,5.4,8.799999999999986
Movie Task,subject006,-14,1.0,8.699999999999987,2.0,4.000000000000002,1.1999999999999984,1.0,5.499999999999998,1.1000000000000045,1.0,2.9999999999999982,4.0,2.4999999999999987,5.799999999999999,5.800000000000004
Finger Tapping Task,subject006,8,1.0,6.1,1.0,1.0,1.0,1.0,1.0,1.0,5.000000000000011,1.0,3.6000000000000094,4.3999999999999995,4.700000000000017,3.0
Finger Tapping Task,subject006,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.600000000000013,1.0,8.299999999999999
GoNoGo Task,subject006,12,1.0,1.1000000000000116,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.400000000000016,1.0,1.0
GoNoGo Task,subject006,-8,2.2999999999999976,1.0,1.0,10.0,5.400000000000016,1.0,2.800000000000016,1.0,3.000000000000016,1.0,1.0,5.4,2.500000000000012,3.7000000000000095
Friend Task,subject006,-12,1.0,10.0,1.0,4.000000000000017,10.0,1.0,1.0,1.000000000000001,7.10000000000001,5.600000000000016,1.2000000000000117,4.70000000000001,1.0,9.399999999999986
Friend Task,subject006,-5,2.9000000000000123,10.0,1.0,3.800000000000013,9.100000000000003,1.0,1.0,1.0,8.700000000000005,3.0,3.0,3.400000000000002,1.4000000000000081,9.2
You Task,subject006,9,1.8000000000000116,1.6999999999999984,1.0,5.500000000000012,8.399999999999988,1.0,2.0,1.0,3.300000000000009,2.2999999999999976,1.4999999999999976,4.600000000000002,10.0,9.299999999999999
You Task,subject006,9,1.6999999999999975,1.0,1.0,3.3000000000000163,5.100000000000003,1.400000000000001,7.0,5.000000000000014,2.900000000000016,2.6000000000000156,2.0,5.600000000000016,9.599999999999994,2.8000000000000016
